Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2/29/20,DEU,Germany,Baden-Württemberg,48.537648,9.049199,14,0,0,14,0,0,TRUE,TRUE,DE1
2/29/20,DEU,Germany,Bayern,48.947574,11.419913,15,0,0,15,0,0,TRUE,TRUE,DE2
2/29/20,DEU,Germany,Hessen,50.603242,9.031057,3,0,0,3,0,0,TRUE,TRUE,DE7
2/29/20,DEU,Germany,Nordrhein-Westfalen,51.479706,7.56208,30,0,0,30,0,0,TRUE,TRUE,DEA
2/29/20,DEU,Germany,Repatriierte,0,0,2,0,0,2,0,0,TRUE,TRUE,0
2/29/20,DEU,Germany,Rheinland-Pfalz,49.50932,7.909356,1,0,0,1,0,0,TRUE,TRUE,DEB
2/29/20,DEU,Germany,Schleswig Holstein,54.0295,9.705555,1,0,0,1,0,0,TRUE,TRUE,DEF
3/1/20,DEU,Germany,Baden-Württemberg,48.537648,9.049199,15,0,0,15,0,0,TRUE,TRUE,DE1
3/1/20,DEU,Germany,Baden-Württemberg,48.537648,9.049199,16,0,0,16,0,0,TRUE,TRUE,DE1
3/1/20,DEU,Germany,Bayern,48.947574,11.419913,23,0,0,23,0,0,TRUE,TRUE,DE2
3/1/20,DEU,Germany,Bayern,48.947574,11.419913,18,0,0,18,0,0,TRUE,TRUE,DE2
3/1/20,DEU,Germany,Bremen,53.108678,8.785951,1,0,0,1,0,0,TRUE,TRUE,DE5
3/1/20,DEU,Germany,Hamburg,53.54464,10.027798,1,0,0,1,0,0,TRUE,TRUE,DE6
3/1/20,DEU,Germany,Hamburg,53.54464,10.027798,1,0,0,1,0,0,TRUE,TRUE,DE6
3/1/20,DEU,Germany,Hessen,50.603242,9.031057,8,0,0,8,0,0,TRUE,TRUE,DE7
3/1/20,DEU,Germany,Hessen,50.603242,9.031057,3,0,0,3,0,0,TRUE,TRUE,DE7
3/1/20,DEU,Germany,Niedersachsen,52.765527,9.162019,1,0,0,1,0,0,TRUE,TRUE,DE9
3/1/20,DEU,Germany,Niedersachsen,52.765527,9.162019,1,0,0,1,0,0,TRUE,TRUE,DE9
3/1/20,DEU,Germany,Nordrhein-Westfalen,51.479706,7.56208,31,0,0,31,0,0,TRUE,TRUE,DEA
3/1/20,DEU,Germany,Nordrhein-Westfalen,51.479706,7.56208,74,0,0,74,0,0,TRUE,TRUE,DEA
3/1/20,DEU,Germany,Repatriierte,0,0,2,0,0,2,0,0,TRUE,TRUE,0
3/1/20,DEU,Germany,Repatriierte,0,0,2,0,0,2,0,0,TRUE,TRUE,0
3/1/20,DEU,Germany,Rheinland-Pfalz,49.50932,7.909356,2,0,0,2,0,0,TRUE,TRUE,DEB
3/1/20,DEU,Germany,Rheinland-Pfalz,49.50932,7.909356,2,0,0,2,0,0,TRUE,TRUE,DEB
3/1/20,DEU,Germany,Schleswig Holstein,54.0295,9.705555,2,0,0,2,0,0,TRUE,TRUE,DEF
3/1/20,DEU,Germany,Schleswig Holstein,54.0295,9.705555,2,0,0,2,0,0,TRUE,TRUE,DEF
3/2/20,DEU,Germany,Baden-Württemberg,48.537648,9.049199,19,0,0,19,0,0,TRUE,TRUE,DE1
3/2/20,DEU,Germany,Baden-Württemberg,48.537648,9.049199,20,0,0,20,0,0,TRUE,TRUE,DE1
3/2/20,DEU,Germany,Bayern,48.947574,11.419913,25,0,0,25,0,0,TRUE,TRUE,DE2
3/2/20,DEU,Germany,Bayern,48.947574,11.419913,26,0,0,26,0,0,TRUE,TRUE,DE2
3/2/20,DEU,Germany,Berlin,52.501532,13.40185,1,0,0,1,0,0,TRUE,TRUE,DE3
3/2/20,DEU,Germany,Berlin,52.501532,13.40185,1,0,0,1,0,0,TRUE,TRUE,DE3
3/2/20,DEU,Germany,Bremen,53.108678,8.785951,1,0,0,1,0,0,TRUE,TRUE,DE5
3/2/20,DEU,Germany,Bremen,53.108678,8.785951,1,0,0,1,0,0,TRUE,TRUE,DE5
3/2/20,DEU,Germany,Hamburg,53.54464,10.027798,1,0,0,1,0,0,TRUE,TRUE,DE6
3/2/20,DEU,Germany,Hamburg,53.54464,10.027798,2,0,0,2,0,0,TRUE,TRUE,DE6
