Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2/20/20,ITA,Italy,Lombardia,45.622479,9.770824,3,0,0,3,0,0,TRUE,TRUE,ITC4
2/21/20,ITA,Italy,Lombardia,45.622479,9.770824,20,0,0,20,0,0,TRUE,TRUE,ITC4
2/21/20,ITA,Italy,Veneto,45.664735,11.84235,2,0,0,2,0,0,TRUE,TRUE,ITH3
2/22/20,ITA,Italy,Emilia-Romagna,44.536563,11.019909,2,0,0,2,0,0,TRUE,TRUE,ITH5
2/22/20,ITA,Italy,Lazio,41.981132,12.767224,2,0,0,2,0,0,TRUE,TRUE,ITI4
2/22/20,ITA,Italy,Lombardia,45.622479,9.770824,54,0,0,54,0,0,TRUE,TRUE,ITC4
2/22/20,ITA,Italy,Piemonte,45.060965,7.926836,1,0,0,1,0,0,TRUE,TRUE,ITC1
2/22/20,ITA,Italy,Veneto,45.664735,11.84235,19,0,0,19,0,0,TRUE,TRUE,ITH3
2/23/20,ITA,Italy,Emilia-Romagna,44.536563,11.019909,9,0,0,9,0,0,TRUE,TRUE,ITH5
2/23/20,ITA,Italy,Lazio,41.981132,12.767224,2,0,0,2,0,0,TRUE,TRUE,ITI4
2/23/20,ITA,Italy,Lombardia,45.622479,9.770824,116,0,0,116,0,0,TRUE,TRUE,ITC4
2/23/20,ITA,Italy,Piemonte,45.060965,7.926836,3,0,0,3,0,0,TRUE,TRUE,ITC1
2/23/20,ITA,Italy,Veneto,45.664735,11.84235,25,0,0,25,0,0,TRUE,TRUE,ITH3
2/24/20,ITA,Italy,Emilia-Romagna,44.536563,11.019909,18,0,0,18,12,2,TRUE,TRUE,ITH5
2/24/20,ITA,Italy,Lazio,41.981132,12.767224,3,0,1,2,2,1,TRUE,TRUE,ITI4
2/24/20,ITA,Italy,Lombardia,45.622479,9.770824,172,6,0,166,95,19,TRUE,TRUE,ITC4
2/24/20,ITA,Italy,Piemonte,45.060965,7.926836,3,0,0,3,2,0,TRUE,TRUE,ITC1
2/24/20,ITA,Italy,Veneto,45.664735,11.84235,33,1,0,32,16,4,TRUE,TRUE,ITH3
2/25/20,ITA,Italy,Bolzano,46.697344,11.417082,1,0,0,1,0,0,TRUE,TRUE,ITH1
2/25/20,ITA,Italy,Emilia-Romagna,44.536563,11.019909,26,0,0,26,0,0,TRUE,TRUE,ITH5
2/25/20,ITA,Italy,Lazio,41.981132,12.767224,3,0,1,2,0,0,TRUE,TRUE,ITI4
2/25/20,ITA,Italy,Liguria,44.144781,8.140492,1,0,0,1,0,0,TRUE,TRUE,ITC3
2/25/20,ITA,Italy,Lombardia,45.622479,9.770824,240,9,0,231,0,0,TRUE,TRUE,ITC4
2/25/20,ITA,Italy,Piemonte,45.060965,7.926836,3,0,0,3,0,0,TRUE,TRUE,ITC1
2/25/20,ITA,Italy,Sicilia,37.587635,14.155497,3,0,0,3,0,0,TRUE,TRUE,ITG1
2/25/20,ITA,Italy,Toscana,43.459993,11.136697,2,0,0,2,0,0,TRUE,TRUE,ITI1
2/25/20,ITA,Italy,Veneto,45.664735,11.84235,43,1,0,42,0,0,TRUE,TRUE,ITH3
2/26/20,ITA,Italy,Bolzano,46.697344,11.417082,1,0,0,1,1,0,TRUE,TRUE,ITH1
2/26/20,ITA,Italy,Emilia-Romagna,44.536563,11.019909,47,1,0,46,23,3,TRUE,TRUE,ITH5
2/26/20,ITA,Italy,Lazio,41.981132,12.767224,3,0,3,0,0,0,TRUE,TRUE,ITI4
2/26/20,ITA,Italy,Liguria,44.144781,8.140492,11,0,0,11,6,0,TRUE,TRUE,ITC3
2/26/20,ITA,Italy,Lombardia,45.622479,9.770824,258,9,0,249,104,25,TRUE,TRUE,ITC4
2/26/20,ITA,Italy,Marche,43.366624,13.106678,1,0,0,1,1,0,TRUE,TRUE,ITI3
2/26/20,ITA,Italy,Piemonte,45.060965,7.926836,3,0,0,3,2,0,TRUE,TRUE,ITC1
2/26/20,ITA,Italy,Sicilia,37.587635,14.155497,3,0,0,3,1,0,TRUE,TRUE,ITG1
2/26/20,ITA,Italy,Toscana,43.459993,11.136697,2,0,0,2,2,0,TRUE,TRUE,ITI1
2/26/20,ITA,Italy,Veneto,45.664735,11.84235,71,2,0,69,24,8,TRUE,TRUE,ITH3
2/27/20,ITA,Italy,Abruzzo,42.228034,13.855137,1,0,0,1,1,0,TRUE,TRUE,ITF1
2/27/20,ITA,Italy,Bolzano,46.697344,11.417082,1,0,0,1,1,0,TRUE,TRUE,ITH1
2/27/20,ITA,Italy,Campania,41.059945,14.785097,3,0,0,3,2,0,TRUE,TRUE,ITF3
2/27/20,ITA,Italy,Emilia-Romagna,44.536563,11.019909,97,1,0,96,42,6,TRUE,TRUE,ITH5
2/27/20,ITA,Italy,Lazio,41.981132,12.767224,3,0,3,0,0,0,TRUE,TRUE,ITI4
2/27/20,ITA,Italy,Liguria,44.144781,8.140492,19,0,0,19,9,0,TRUE,TRUE,ITC3
2/27/20,ITA,Italy,Lombardia,45.622479,9.770824,403,14,40,349,213,41,TRUE,TRUE,ITC4
2/27/20,ITA,Italy,Marche,43.366624,13.106678,3,0,0,3,3,1,TRUE,TRUE,ITI3
2/27/20,ITA,Italy,Piemonte,45.060965,7.926836,2,0,0,2,2,0,TRUE,TRUE,ITC1
2/27/20,ITA,Italy,Puglia,40.984631,16.620464,1,0,0,1,1,0,TRUE,TRUE,ITF4
2/27/20,ITA,Italy,Sicilia,37.587635,14.155497,4,0,2,2,1,0,TRUE,TRUE,ITG1
2/27/20,ITA,Italy,Toscana,43.459993,11.136697,2,0,0,2,2,0,TRUE,TRUE,ITI1
2/27/20,ITA,Italy,Veneto,45.664735,11.84235,111,2,0,109,27,8,TRUE,TRUE,ITH3
2/28/20,ITA,Italy,Abruzzo,42.228034,13.855137,1,0,0,1,1,0,TRUE,TRUE,ITF1
2/28/20,ITA,Italy,Bolzano,46.697344,11.417082,1,0,0,1,1,0,TRUE,TRUE,ITH1
2/28/20,ITA,Italy,Calabria,39.225585,16.418474,1,0,0,1,0,0,TRUE,TRUE,ITF6
2/28/20,ITA,Italy,Campania,41.059945,14.785097,4,0,0,4,2,0,TRUE,TRUE,ITF3
2/28/20,ITA,Italy,Emilia-Romagna,44.536563,11.019909,145,2,0,143,62,6,TRUE,TRUE,ITH5
2/28/20,ITA,Italy,Lazio,41.981132,12.767224,3,0,3,0,0,0,TRUE,TRUE,ITI4
2/28/20,ITA,Italy,Liguria,44.144781,8.140492,19,0,0,19,9,0,TRUE,TRUE,ITC3
2/28/20,ITA,Italy,Lombardia,45.622479,9.770824,531,17,40,474,282,47,TRUE,TRUE,ITC4
2/28/20,ITA,Italy,Marche,43.366624,13.106678,6,0,0,6,5,2,TRUE,TRUE,ITI3
2/28/20,ITA,Italy,Piemonte,45.060965,7.926836,11,0,0,11,7,0,TRUE,TRUE,ITC1
2/28/20,ITA,Italy,Puglia,40.984631,16.620464,3,0,0,3,1,0,TRUE,TRUE,ITF4
2/28/20,ITA,Italy,Sicilia,37.587635,14.155497,4,0,2,2,1,0,TRUE,TRUE,ITG1
2/28/20,ITA,Italy,Toscana,43.459993,11.136697,8,0,1,7,5,0,TRUE,TRUE,ITI1
2/28/20,ITA,Italy,Veneto,45.664735,11.84235,151,2,0,149,33,9,TRUE,TRUE,ITH3
2/29/20,ITA,Italy,Abruzzo,42.228034,13.855137,2,0,0,2,2,0,TRUE,TRUE,ITF1
