Closing or Layoff,Initial Report Date,Planned Starting Date,Company,City,Planned # Affected Employees
Layoff *,4/22/2020,4/22/2020,GESTAMP,McCalla,76
Closing *,4/22/2020,4/22/2020,STAR AVIATION,Mobile,82
Layoff *,4/17/2020,4/17/2020,STANDARD FURNITURE,,95
Closing *,4/17/2020,6/15/2020,MONARCH WINDOWS & DOORS,Anniston,64
Layoff *,4/14/2020,3/20/2020,"HOOTERS OF AMERICA, LLC",,90
Closing *,4/14/2020,6/6/2020,CARBO CERMAICS INC,Eufaula,56
Closing *,2/14/2020,4/12/2020,RCX LOGISTICS,Theodore,66
Layoff *,2/6/2020,4/6/2020,WAITR AND BITE SQUAD,State-Wide,491
Closing *,1/31/2020,3/20/2020,FAURECIA,Tuscaloosa,166
Closing *,1/24/2020,3/31/2020,"FIS MANAGEMENT SERVICES, LLC",Northport,102
Closing *,1/10/2020,3/8/2020,WHOLE FOODS,Hoover,68
Closing *,10/31/2019,12/29/2019,FRONTIER SPINNING MILLS,Wetumpka,148
Closing *,10/18/2019,12/31/2019,KARDOES RUBBER,LaFayette,86
Layoff *,9/27/2019,12/31/2019,AMERIS BANK,Dothan,50
Closing *,9/17/2019,11/14/2019,FLOWERS BAKING CO.,Opelika,146
Closing *,8/5/2019,10/1/2019,INFORM DIAGNOSTICS,Daphne,72
Closing *,7/26/2019,9/23/2019,"THRYV, INC",Birmingham,111
Layoff *,7/26/2019,9/27/2019,BERRY GLOBAL,Montgomery,60
Closing *,6/6/2019,8/4/2019,GEORGIA PACIFIC,Monroeville,95
Closing *,5/16/2019,7/5/2019,JOYSON SAFETY SYSTEMS,Greenville,98
Closing *,4/17/2019,6/20/2019,HANTAL ALABAMA COMPANY,Montgomery,58
Layoff *,4/3/2019,6/5/2019,INTEVA PRODUCTS,Cottondale,56
Layoff *,4/3/2019,6/7/2019,EBERSPACHER,Northport,127
Layoff *,4/1/2019,5/31/2019,FAURECIA SEATING,Cottondale,118
Layoff *,3/29/2019,5/31/2019,STRYKER SUSTAINABILITY SOLUTIONS,Birmingham,181
