Employer,City,Zip Code,LWIB Area,Notice Date
AAA Club Partners  ,Wilmington  ,19801  ,7  ,10/09/2012 
"AB Car Rental Services, Inc.  ",Phoenix  ,85034  ,7  ,09/28/2010 
ABB Inc.  ,Phoenix  ,85034  ,5  ,05/31/2016 
Abrazo Health Care  ,Chandler  ,85224  ,7  ,01/07/2011 
Abrazo Scottsdale Campus  ,Phoenix  ,85032  ,5  ,07/13/2018 
Acosta Sales & Marketing  ,Brea  ,92821  ,5  ,06/19/2014 
"ACP Services, LLC  ",Walnut Creek  ,94597  ,7  ,08/28/2013 
"ACS, LLC  ",Yuma  ,85365  ,9  ,02/21/2018 
"ACS, LLC  ",Yuma  ,85365  ,9  ,05/04/2016 
"ACS, LLC  ",Yuma  ,85365  ,9  ,05/04/2016 
"Advantage Logistics Southwest, Inc.  ",Phoenix  ,85043  ,7  ,06/06/2016 
Aecom  ,Luke AFB  ,85012  ,7  ,07/29/2019 
Aecom  ,Glendale  ,85310  ,7  ,01/17/2020 
"Aegis Communications Group, Inc.  ",Irving  ,75063  ,1  ,04/29/2013 
Aeroturbine  ,Miramar  ,33027  ,7  ,01/27/2016 
Ahern Rentals Inc.  ,Phoenix  ,85006  ,5  ,03/28/2020 
Albertson Company #1026  ,Surprise  ,85374  ,7  ,01/06/2017 
Albertson Company #969  ,Scottsdale  ,85260  ,7  ,01/06/2017 
Albertson's Store #968  ,Casa Grande  ,85222  ,2  ,01/06/2012 
Albertsons  ,Phoenix  ,85028  ,5  ,01/05/2018 
Albertsons 2929  ,Gilbert  ,85297  ,7  ,06/21/2019 
Albertsons LLC  ,Tolleson  ,85353  ,7  ,01/13/2014 
Albertsons Store 959  ,Tucson  ,85710  ,6  ,06/18/2018 
Albertsons/Safeway 0940  ,Tempe  ,85283  ,7  ,04/26/2019 
Alorica  ,Tucson  ,85756  ,6  ,01/25/2019 
Alorica - Mesa  ,Mesa  ,85203  ,7  ,08/28/2019 
Alsco  ,Yuma  ,85365  ,9  ,04/07/2020 
Amentum  ,Yuma  ,85364  ,9  ,03/13/2020 
"American Airlines, Inc.  ",Tucson  ,85706  ,6  ,05/01/2012 
Ameron International Phoenix Division  ,Phoenix  ,85034  ,7  ,04/06/2011 
"Ameron International, Inc.  ",Phoenix  ,85034  ,5  ,07/31/2015 
AMR Patient Advocacy Group - AZ  ,Scottsdale  ,85258  ,7  ,10/31/2019 
AmSafe  ,Phoenix  ,85043  ,5  ,05/12/2020 
Andaz Scottsdale Resort & Bungalows (Hyatt)  ,Scottsdale  ,85253  ,7  ,06/15/2020 
Anthem Education  ,Fort Lauderdale  ,33334  ,5  ,07/15/2014 
Aramark  ,Anaheim  ,92807  ,5  ,09/09/2013 
Ares Collective Restaurants  ,Tucson  ,85715  ,6  ,03/23/2020 
Arizona Daily Star  ,Tucson  ,85714  ,6  ,03/21/2019 
Arizona Grand Resort  ,Phoenix  ,85044  ,5  ,05/04/2020 
Arizona Grand Senior Living Community  ,Phoenix  ,85016  ,5  ,12/30/2014 
Arizona Neurological Institute  ,Sun City  ,85351  ,7  ,08/01/2014 
Arizona Nutritional Supplements  ,Chandler  ,85226  ,7  ,05/06/2020 
Arizona Oncology Associates (ASUI)  ,Tucson  ,85718  ,7  ,04/06/2020 
Armor Works  ,Chandler  ,85226  ,7  ,03/12/2012 
ARRIS Group Inc.  ,Suwanee  ,30024  ,5  ,08/24/2016 
ARRIS Group Inc.  ,Suwanee  ,30024  ,7  ,08/24/2016 
ARRIS Group Inc.  ,Suwanee  ,30024  ,7  ,08/24/2016 
ASARCO Grupo Mexico  ,Tucson  ,85711  ,2002  ,02/11/2016 
ASARCO Grupo Mexico  ,Tucson  ,85711  ,14  ,08/21/2015 
Aspire (CPES)  ,Tempe  ,85282  ,7  ,05/18/2020 
"Asset Acceptance, LLC  ",Warren  ,48093  ,7  ,09/10/2012 
AT&T  ,Phoenix  ,85044  ,5  ,06/14/2018 
AT&T  ,Phx  ,85027  ,5  ,11/29/2016 
ATC/Vancom of Arizona L.P. dba Veolia Tranport.  ,Phoenix  ,85003  ,7  ,04/28/2010 
Atkore International  ,Harvey  ,60426  ,5  ,08/06/2015 
Atrium Hospitality  ,Glendale  ,85305  ,7  ,03/26/2020 
ATSCO Remanufacturing Inc.  ,Daphne  ,36526  ,5  ,08/26/2015 
Avis Budget  ,Phoenix  ,85034  ,5  ,04/08/2020 
"Bada Bing Bakery LLC, dba Chompie's Baking Co.  ",Phoenix  ,85034  ,7  ,03/16/2012 
Bank of America  ,Washington  ,20004  ,7  ,11/22/2013 
"Beck, Chaet, Bamberger,& Polsky, S.C.  ",Milwaukee  ,53202  ,5  ,08/14/2015 
Bella Fresh  ,Phoenix  ,85043  ,5  ,02/05/2020 
"Benchmark Electronics Phoenix, Inc.  ",Phoenix  ,85023  ,5  ,10/30/2014 
Benihana Ahwatukee  ,Phoenix  ,85044  ,7  ,04/05/2020 
Benihana Chandler  ,Chandler  ,85226  ,7  ,04/05/2020 
Benihana Mid town  ,Scottsdale  ,85251  ,7  ,04/05/2020 
Benihana Scottsdale  ,Scottsdale  ,85254  ,7  ,04/05/2020 
Best Western Hotels & Resorts  ,Phoenix  ,85016  ,5  ,03/25/2020 
Black Bear Diner  ,Laveen  ,85339  ,7  ,04/09/2020 
"Blue Chip southwest, LLC  ",Walnut Creek  ,94598  ,7  ,01/24/2014 
Boyd Coffee Company  ,Tempe  ,85282  ,7  ,03/22/2018 
Bridgeway Health Solutions  ,Tucson  ,85714  ,6  ,07/29/2011 
Bright (MHS)  ,Phoenix  ,85040  ,5  ,05/01/2020 
Buck Stop  ,Wilcox  ,86004  ,1  ,05/18/2020 
C & W Services  ,Dallas  ,75254  ,5  ,07/03/2018 
Calvery Staffing  ,Phoenix  ,95040  ,5  ,08/04/2015 
Camby Hotel  ,Phoenix  ,85021  ,5  ,05/07/2020 
Camelback Inn Resort & Spa (JW Marriott)  ,Scottsdale  ,85253  ,7  ,06/03/2020 
"Cameron Mitchell Restaurants, LLC  ",Columbus  ,85054  ,5  ,03/24/2020 
Captial Group Companies Global  ,Scottsdale  ,85254  ,7  ,04/22/2015 
CardWorks Processing LLC  ,Tucson  ,85711  ,6  ,12/01/2011 
Carlota Copper Company  ,Miami  ,85539  ,2  ,08/01/2011 
Cascades  ,Kingman  ,86401  ,11  ,10/30/2019 
Catalyst Paper Inc.  ,Snowflake  ,85937  ,14  ,07/30/2012 
Cedar Lane  ,Payson  ,85650  ,2  ,05/18/2020 
Cellco Partnership dba Verizon Wireless  ,Phoenix  ,85044  ,7  ,07/27/2011 
Cementation  ,Sandy  ,84070  ,2  ,12/10/2012 
CEMEX  ,Tucson  ,85743  ,6  ,11/22/2010 
CenturyLink  ,New Century  ,66031  ,5  ,02/26/2014 
