Company Name,Layoff Total,Workforce Local Area,WARN Date,Reason for Layoff,Occupations,Layoff Date(s)
Electro Rent,1,Boulder,5/16/2019,Furlough,"Electronic Tech, Digital Demand Generation, IT Tech Support, Test Equipment Operator, Equipment Support Techs, Production Operator",
Geo Reentry Services LLC,196,Pikes Peak (Colo Springs),1/7/2020,Furlough,"Various: Corrections Personnel (136), Rehabilitation Providers/Therapists (23), General Admin (17), Food Service (6), Medical (14)",3/6/2020
Zahn Dental,54,Jefferson (Golden),1/7/2020,Reorganization and relocation,"Various: Customer Care, CAD Scanners, Finishing Technicians, Machine Operators, Finishing Technicians & others",3/9/2020
Molson Coors (Update),265 plus 191 additional employees,Denver,1/15/2020,Closure,Various: Request WARN for detail.,12/31/19 (for 265) Not specified for 191
XPO Logistics/Jacobson Warehouse Company  ,169,Jefferson (Golden),1/15/2020,Correction: Loss of Contract with MillerCoors,"Various: Drivers, Conductors, Operators, Management",3/20/2020
XPO Logistics Supply Chain/Jacobson Warehouse Company (Revised),169,Jefferson (Golden),1/20/2020,Loss of Contract with MillerCoors,"Various: Driver CDLs, PIT Operators, Transportation Specialists, RR Conductors, and others",3/20/2020
Plexus Corporation,104,Boulder (Louisville),1/22/2020,Closure,"Various: Engineers (Analog, Digital, Mechanical, Product & Quality), Project Managers, and Management/Administrative.",3/22/2020
"Luckys Markets, Luckys Cafe, Lucky's Bakehouse Creamery",300,Boulder  ,1/23/2020,Closure,Various: Request WARN for detail.,3/24/20- 4/7/20 in phases
S4 Inc.,77,Pikes Peak,1/26/2020,Loss of Contract,Various: IT positions,Downsize 1/26/20
Oakwood Worldwide (US) LP (Update to  12/30/19 WARN),6,Denver,1/28/2020,Mass Layoff,"Various: Admin Assistant (1) Housekeeper  (4), Inventory Specialist (1) ",3/30/2020
"Southern Foods Group, LLC dba Dean Foods",82,Weld,2/17/2020,Unforseen Business Circumstance,"Various: Filler Operators, Delivery Drivers, Maintenance Mechanics, Product Puller. Request WARN for complete list.",3/13/20 through 4/24/20
"Western Forge, Inc.",164,Pikes Peak (Colo Springs),2/21/2020,Closures: Multiple locations,Unknown- Have requested information from Company,"4/30/20, 5/29/20 and 7/31/20"
iQor Holdings US LLC,82,Pueblo,3/2/2020,Mass Layoff,Unknown ,5/1/2020
