Employer,City,Zip Code,LWIB Area,Notice Date
A&P/Pathmark  ,Glasgow  ,19702  ,1  ,02/15/2011 
Access Group  ,Wilmington  ,19803  ,1  ,12/11/2011 
Allied Automotive Group  ,Wilmington  ,19804  ,1  ,06/23/2009 
AllState Technical Services  ,Newark  ,19702  ,1  ,06/05/2009 
American Bread Company LLC  ,Cleveland  ,44102  ,1  ,03/16/2020 
Ashby Hospitality Group  ,Newark  ,19711  ,1  ,03/16/2020 
AstraZeneca  ,Wilmington  ,19803  ,1  ,12/15/2016 
AstraZeneca  ,Wilmington  ,19850  ,1  ,05/31/2013 
AstraZeneca  ,Wilmington  ,198505437  ,1  ,05/13/2010 
Avon Products  ,Newark  ,19712  ,1  ,01/16/2007 
Barclays Bank Delaware  ,Newark  ,19720  ,1  ,04/11/2017 
Barclays Services LLC  ,Wilmington  ,19801  ,1  ,06/05/2019 
BE & K Engineering  ,Newark  ,19702  ,1  ,06/05/2009 
"BF Rich Co., Inc.  ",Newark  ,19711  ,1  ,02/13/2017 
"BFRich Co., Inc  ",Newark  ,19714  ,1  ,02/07/2017 
Big Fish Restaurant Group  ,Rehoboth Beach  ,19971  ,1  ,03/16/2020 
Burris Logistics  ,Newark  ,19720  ,1  ,01/30/2017 
Capital One - Mortgage Services  ,Wilmington  ,19801  ,1  ,02/03/2016 
Chemours  ,Wilmington  ,19805  ,1  ,07/06/2015 
Chemours/Edge Moor Plant  ,Edge Moor  ,19802  ,1  ,08/20/2015 
Chrysler Corporation  ,Newark  ,19711  ,1  ,10/28/2008 
Circuit City  ,Wilmington  ,19810  ,1  ,01/16/2009 
Circuit City  ,Newark  ,19702  ,1  ,01/16/2009 
Clarios Middletown DAP facility  ,Middletown  ,19709  ,1  ,05/04/2020 
"Color Box, LLC/Georgia Pacific  ",Harrington  ,19952  ,1  ,10/10/2013 
Conectiv Energy  ,Newark  ,097146066  ,1  ,04/28/2010 
CVS Health  ,East Northport  ,11731  ,1  ,10/03/2017 
Dentsply Sirona  ,Milford  ,19963  ,1  ,04/02/2020 
DHL Express  ,New Castle  ,19720  ,1  ,01/06/2009 
DuPont  ,Wilmington  ,19805  ,1  ,12/29/2015 
Evraz  ,Claymont  ,19809  ,1  ,10/14/2013 
"Formosa Plastics Corp., USA  ",Delaware City  ,19706  ,1  ,07/25/2018 
Foxfire Printing and Packaging  ,Newark  ,19713  ,1  ,05/12/2016 
"Fresh Grocer - Adams Market, LLC  ",Wilmington  ,19801  ,1  ,10/23/2019 
GE Aviation  ,Newark  ,19713  ,1  ,06/29/2020 
GE Energy  ,Newark  ,19702  ,1  ,03/13/2009 
General Motors  ,Wilmington  ,19804  ,1  ,10/21/2008 
General Motors  ,Wilmington  ,19804  ,1  ,06/01/2009 
Grotto's Pizza  ,Rehoboth Beach  ,19971  ,1  ,03/23/2020 
HGA Quest  ,Garden City  ,11530  ,1  ,06/16/2009 
HMSHost  ,Newark  ,19702  ,1  ,07/01/2009 
HMShost - Biden Welcome Center  ,Newark  ,19725  ,1  ,03/20/2020 
HSBC Card and Retail Services  ,New Castle  ,19720  ,1  ,01/18/2011 
Invista  ,Seaford  ,19973  ,1  ,12/08/2008 
Jacobson Companies  ,Dover  ,19904  ,1  ,08/28/2009 
JPMorgan Chase & Co  ,Wilmington  ,19801  ,1  ,11/05/2014 
"Koons of Wilmington, Inc.  ",Wilmington  ,19806  ,1  ,04/09/2020 
Legacy Supply Chain Services  ,New Castle  ,19702  ,1  ,02/06/2015 
Lyondell/Basell  ,Wilmington  ,19803  ,1  ,06/22/2009 
MDavis  ,Wilmington  ,19804  ,1  ,03/20/2020 
"Millers Ale House, Inc.  ",Newark  ,19713  ,1  ,04/06/2020 
Mundy Services  ,Seaford  ,19973  ,1  ,11/06/2008 
"Packers Sanitation Services, Inc.  ",Harbeson  ,19951  ,1  ,03/19/2020 
"Pinnacle Foods Group, LLC  ",Millsboro  ,19966  ,1  ,07/31/2012 
Platinum Dining Group  ,Wilmington  ,19806  ,1  ,03/16/2020 
PPG Architectural Coatings  ,Dover  ,19904  ,1  ,06/07/2018 
Sears Holdings Prices Corner  ,Wilmington  ,19808  ,1  ,01/04/2018 
Siemens Healthcare Diagnostics  ,New Castle  ,19720  ,1  ,03/31/2009 
"Sodexo, Inc., Facility Engineering  ",Newark  ,19713  ,1  ,01/29/2016 
Teleplan International  ,New Castle  ,19720  ,1  ,01/29/2009 
Ulysses American Gastropub  ,Wilmington  ,19810  ,1  ,03/23/2020 
United Health Group  ,Newark  ,19713  ,1  ,11/02/2017 
UnitedHealth Group  ,Newark  ,19711  ,1  ,11/02/2017 
Valero Delaware City  ,Delaware City  ,19706  ,1  ,09/14/2009 
Valero Delaware City Refinery  ,Delaware City  ,19706  ,1  ,11/20/2009 
Wilmington Trust/M&T Bank  ,Buffalo  ,14203  ,1  ,02/09/2011 
WolfBlock LLP  ,Wilmington  ,19801  ,1  ,03/26/2009 
