ID,Company name,City,ZIP,County,Est. Impact,LWDA,Date
GA201900061,"St. Partners, LLC",Gainesville,30504,Hall,220,2,12/21/2019
GA201900063,"Mount Vernon Mills, Inc.",Alto,30510,Banks,600,2,03/09/2020
GA201900064,Scandinavian Tobacco Group Lane Limited,Tucker,30084,Dekalb,113,5,03/17/2020
GA201900066,"Mahogany Interiors, LLC",Atlanta,30318,Fulton,2,3,02/01/2020
GA201900071,Cox Corporate Service,Atlanta,30326,Fulton,81,3,03/31/2020
GA201900072,"Shaw Industries Group, Inc. Plant 23",Dalton,30721,Whitfield,275,1,04/04/2020
GA201900073,Kindred Specialty Hospital LLC,Rome,30165,Floyd,78,1,04/06/2020
GA201900075,Express Parcel Service LLC,Smyrna,30082,Cobb,74,4,04/12/2020
GA201900076,Pacific Architects & Engineers (PAE),Albany,31704,Dougherty,200,17,03/10/2020
GA201900077,"ACTS-Aviation Security, Inc.",Atlanta,30320,Clayton,90,7,04/30/2020
GA201900079,Concentrix,Savannah,31419,Chatham,139,20,05/04/2020
GA201900083,Cincuenta llc,Atlanta,30317,Dekalb,38,5,03/19/2020
GA201900087,The Beginning Learning Center Inc.,Fort Valley,31030,Peach,13,11,03/16/2020
GA201900089,"Terri Woodward, Inc",Augusta,30907,Columbia,14,13,03/23/2020
GA201900091,"Global Concessions, Inc.",Atlanta,30337,Fulton,100,3,03/16/2020
GA201900093,"Global Concessions, II",Atlanta,30337,Fulton,100,3,03/16/2020
GA201900095,"Pot Likker Creations, LLC",Atlanta,30337,Fulton,100,3,03/16/2020
GA201900099,Firestone LLC,Newnan,30263,Coweta,36,8,03/17/2020
GA201900100,Nails Creation & Spa,Buford,30518,Hall,5,2,03/19/2020
GA201900102,Piolax Corporation,Canton,30114,Cherokee,359,7,03/23/2020
GA201900103,"RB Jackson III, PC",Midway,31320,Liberty,25,20,03/23/2020
GA201900107,Kale Me Crazy,Atlanta,30305,Fulton,15,3,03/19/2020
GA201900108,Concord Cafe Inc,Concord,30206,Pike,6,8,03/14/2020
GA201900109,All Kids First,Norcross,30071,Gwinnett,31,7,03/18/2020
GA201900110,"Dockside Fish, inc.",Savannah,31401,Chatham,20,20,03/23/2020
GA201900111,The Peachtree Club,Atlanta,30309,Fulton,9,3,03/13/2020
GA201900113,"Phoenix Art Projects,Inc.",ROSWELL,30076,Fulton,6,3,03/20/2020
GA201900114,37th St Cooking Inc,Savannah,31401,Chatham,45,20,03/22/2020
GA201900132,"Ranson, Inc",Macon,31210,Bibb,18,10,03/19/2020
GA201900133,"Monikey, LLC",Bonaire,31005,Houston,24,11,03/19/2020
GA201900141,G. C. of Albany Inc.,Albany,31707,Dougherty,71,17,03/19/2020
GA201900146,"Black Diamond Grill and Grill, Inc",Cumming,30041,Forsyth,38,2,03/23/2020
GA201900147,Punch Bowl Social,Atlanta,30339,Fulton,173,3,03/16/2020
GA201900149,Razor Sharp Recoreds South Inc.,Atlanta,30340,Dekalb,1,5,03/17/2020
GA201900151,Haven Manufacturing Corp,Brunswick,31525,Glynn,14,20,03/30/2020
GA201900152,Crestline Hotels & Resorts,Atlanta,30308,Fulton,113,3,03/20/2020
GA201900154,Crestline Hotels & Resorts,Atlanta,30329,Dekalb,126,5,03/20/2020
GA201900163,"Ramineni & Shepard, LLC",Marietta,30067,Cobb,21,4,03/25/2020
GA201900164,XPO Logistics Supply Chain Headquarters,Fairburn,30213,Fulton,226,3,05/31/2020
GA201900167,Airport Retail Management (ARM),Atlanta,30349,Clayton,196,7,03/13/2020
GA201900169,Pinnacle Orthopaedics & Sports Medicine Specialists,Marietta,30060,Cobb,50,4,03/25/2020
GA201900177,BJS ROASTERS,ATLANTA,30324,Fulton,10,3,03/19/2020
GA201900179,"Golden Gate America East, LLC",College Park,30337,Fulton,378,3,03/22/2020
GA201900180,R&J LUNCH BOX,KINGSLAND,31548,Camden,15,20,03/21/2020
GA201900182,"Gate Gourmet, Inc.",Atlanta,30354,Clayton,500,7,03/25/2020
GA201900184,"Master Creations, Inc.",Atlanta,30331,Fulton,4,3,03/17/2020
GA201900193,Old Town Trolley Tours,Savannah,31415,Chatham,168,20,03/25/2020
GA201900195,The Krimson Kafe,Watkinsville,30677,Oconee,4,9,03/21/2020
GA201900212,Salon de la Vie,Roswell,30075,Fulton,8,3,03/21/2020
GA201900213,AJs Payroll Inc,Newnan,30263,Coweta,80,8,03/18/2020
GA201900215,Baily International Inc,Waycross,31502,Ware,148,18,03/23/2020
GA201900216,"Divine Home Nursing, LLC",Cumming,30041,Forsyth,9,2,03/02/2020
GA201900217,"Absolute Entertainment, Inc",Milton,30004,Fulton,2,3,03/09/2020
GA201900218,MAXIMUM SOLUTIONS GROUP LLC,Pooler,31322,Chatham,10,20,03/18/2020
GA201900219,"Quixote Studios, LLC",Austell,30168,Cobb,10,4,03/20/2020
GA201900220,"Quixote Studios, LLC",Atlanta,30316,Fulton,13,3,03/20/2020
GA201900221,Personal Touch Salon,Gainesville,30506,Hall,1,2,03/19/2020
GA201900223,KAYBEE OF MACON INC,Macon,31201,Bibb,9,10,03/30/2020
GA201900224,Hunt Enterprises LLC,DAHLONEGA,30533,Lumpkin,2,2,03/19/2020
GA201900225,"America's Auto Auction Atlanta, Inc.",Cartersville,30120,Bartow,65,1,03/17/2020
GA201900228,Carol's Pampered Pets,savannah,31406,Chatham,4,20,03/25/2020
GA201900230,"Wencor Group, LLC",Peachtree City,30269,Fayette,160,7,03/27/2020
GA201900235,CTC FAM LLC,"Dunwoody, GA",30338,Dekalb,1,5,03/24/2020
GA201900239,new nails Salon,Vidalia,30474,Toombs,3,16,03/27/2020
GA201900255,"Drive Time Car Sales Company, LLC",Stockbridge,30281,Henry,128,7,03/30/2020
GA201900256,PEG Smyrna Property LLC,Sm\,30080,Cobb,10,4,03/23/2020
GA201900257,Paper Source,Alpharetta,30009,Fulton,10,3,03/29/2020
GA201900258,Paper Source,Atlanta,30306,Fulton,11,3,03/29/2020
GA201900260,Paper Source,Atlanta,30326,Fulton,8,3,03/29/2020
GA201900267,"Ritchey Enterprises, Inc.",Athens,30606,Clarke,1,9,04/01/2020
GA201900269,River Street Tavern Inc,Ellijay,30540,Gilmer,29,1,03/24/2020
GA201900271,Marriott Hotels & Resorts,Atlnta,30345,Dekalb,107,5,03/16/2020
GA201900274,M.D. Whitest Medical Institute,Cordele,31015,Crisp,7,15,03/25/2020
GA201900275,NDC Family Care Inc,Loganville,30052,Gwinnett,3,7,03/30/2020
GA201900276,GPC  Renovations,Monroe,30655,Walton,20,9,02/29/2020
GA201900278,Gigis Place Inc.,Covington,30016,Newton,17,9,03/27/2020
GA201900280,Jim n Nicks,Smyrna,30080,Cobb,41,4,03/16/2020
GA201900281,Jim n Nick's,Hiram,30141,Cobb,38,4,03/16/2020
GA201900282,"DAL Global Services, LLC",Hapeville,30354,Fulton,39,3,03/23/2020
GA201900283,"Focus Brands, LLC",Atlanta,30342,Fulton,136,3,03/27/2020
GA201900285,Gifted Creations Salon,Midway,31320,Liberty,2,20,03/25/2020
GA201900291,Daniel DeReuter,Dalton,30720,Whitfield,4,1,03/22/2020
GA201900296,Prohibition,SAVANNAH,31401,Chatham,42,20,03/18/2020
GA201900297,Alsco,Atlanta,30340,Dekalb,117,5,03/25/2020
GA201900298,Gutterglove South & Home Renovation,Marietta,30066,Cobb,22,4,04/03/2020
GA201900303,"MEAT DONE RIGHT, LLC",GRAYSON,30017,Gwinnett,24,7,03/24/2020
GA201900304,Barteca,Atlanta,30342,Dekalb,84,5,03/21/2020
GA201900305,Barteca,Atlanta,30307,Dekalb,86,5,03/21/2020
GA201900306,Barteca,Atlanta,30318,Dekalb,58,5,03/21/2020
GA201900307,"J ALLEN HENSON JR.,. DDS",Marietta,30064,Cobb,4,4,04/01/2020
GA201900308,Carestream Dental LLC,Atlanta,30339,Cobb,196,4,04/06/2020
GA201900309,Kai Kare LLC,Atlanta,30305,Fulton,34,3,03/16/2020
GA201900310,nhtllc,greensboro,30642,Greene,6,9,03/30/2020
GA201900311,Crestline Hotels & Resorts,Peachtree Corners,30092,Gwinnett,48,7,03/27/2020
GA201900312,"St Joseph Clinic, P.C.",DALTON,30720,Whitfield,13,1,04/06/2020
GA201900313,Emergency Dental Service LLC,Savannah,31406,Chatham,5,20,04/01/2020
GA201900315,"G2 Secure Staff, LLC",Atlanta,30354,Clayton,122,7,03/27/2020
GA201900316,Straight Line Roofing,Villa RIca,30180,Carroll,14,8,04/02/2020
GA201900317,A Book Nook Inc,Decatur,30033,Dekalb,17,5,04/01/2020
GA201900318,IMP Mechanical LLC,Fayetteville,30214,Fayette,16,7,03/12/2020
GA201900323,"The Martin-Brower Company, L.L.C.",East Point,30349,Fulton,84,3,04/07/2020
GA201900324,"Austrian Motors, Ltd",Atlanta,30318,Fulton,5,3,03/02/2020
GA201900326,Arizona's at Stonecrest,Lithonia,30038,Dekalb,60,5,03/23/2020
GA201900328,Coastal Center for Developmental Services,Savannah,31406,Chatham,132,20,04/02/2020
GA201900330,Complete Preservation Services INC (CPS INC),LAGRANGE,30241,Troup,1,8,03/20/2020
GA201900333,Daiohs First Choice Coffee Service,norcross,30071,Gwinnett,5,7,03/26/2020
GA201900334,hyacinta llc,lilburn,30047,Gwinnett,1,7,03/10/2020
GA201900336,Alert Limited Partnership,Brunswick,31521,Glynn,1,20,03/13/2020
GA201900338,handyman of villarica llc,villa rica,30180,Carroll,10,8,03/31/2020
GA201900339,Walmart,Atlanta,30349,Fulton,20,3,01/03/2020
GA201900342,RA Sushi Atlanta Midtown Corp.,Atlanta,30309,Fulton,94,3,04/02/2020
GA201900343,Asbury Automotive,Alpharetta,30009,Fulton,5,3,04/03/2020
GA201900344,Asbury Automotive,Alpharetta,30009,Fulton,16,3,04/03/2020
GA201900346,Accounting & Tax Service of Rome,Rome,30161,Floyd,1,1,02/28/2020
GA201900352,IH Services,Trion,30753,Chattooga,46,1,03/27/2020
GA201900354,Asbury Automotive,Atlanta,30350,Fulton,16,3,04/03/2020
GA201900355,Asbury Automotive,Atlanta,30360,Fulton,26,3,04/03/2020
GA201900356,Asbury Automotive,Cumming,30041,Forsyth,13,2,04/03/2020
GA201900358,Asbury Automotive,Decatur,30033,Dekalb,59,5,04/03/2020
GA201900359,Asbury Automotive,Lithonia,30038,Dekalb,21,5,04/03/2020
GA201900360,Asbury Automotive,Lithonia,30038,Dekalb,19,5,04/03/2020
GA201900362,Asbury Automotive,Lithonia,30038,Dekalb,49,5,04/03/2020
GA201900364,Asbury Automotive,Marietta,30060,Cobb,32,4,04/03/2020
GA201900366,Asbury Automotive,Marietta,30060,Cobb,38,4,04/03/2020
GA201900367,Asbury Automotive,Roswell,30076,Fulton,42,3,04/03/2020
GA201900368,Asbury Automotive,Roswell,30076,Fulton,54,3,04/03/2020
GA201900370,Asbury Automotive,Roswell,30076,Fulton,49,3,04/03/2020
GA201900371,Asbury Automotive,Smyrna,30080,Cobb,64,4,04/03/2020
