Company,City,Zip Code,LWIB Area,Notice Date
ABC-NACO  ,Kansas City  ,66105  ,3  ,10/11/2001 
"ABX Air, Inc.  ",Kansas City  ,66105  ,3  ,11/14/2008 
Accenture  ,Wichita  ,67226  ,4  ,01/28/2009 
Accenture  ,Overland Park  ,66210  ,3  ,03/05/2003 
"Ace Electrical Acquisitions, LLC  ",Columbus  ,66725  ,5  ,07/27/2004 
ACS Business Process Solutions'  ,Wichita  ,67226  ,4  ,04/01/2005 
Adjutant General  ,Salina  ,67401  ,1  ,08/23/2013 
Adronics/Elrob Manufacturing Inc.  ,Hays  ,67601  ,1  ,05/05/2009 
"Aerospace Logistics Services, LLC  ",Wichita  ,67207  ,4  ,05/09/2014 
Affiliated Foods  ,Elwood  ,,2  ,02/01/1999 
"Affliated Foods Midwest Cooperative, Inc.  ",Elwood  ,66024  ,2  ,08/17/2016 
"Ahern Rentals, Inc  ",Elwood  ,66024  ,2  ,03/28/2020 
Air Midwest  ,Wichita  ,67209  ,4  ,05/19/2008 
"Airxcel, Inc - RV Products  ",Wichita  ,67219  ,4  ,04/13/2020 
Alamo Group  ,Holton  ,66436  ,2  ,12/05/2005 
Albertsons  ,"Boise, ID  ",83726  ,4  ,04/10/2002 
Alco  ,Abilene  ,67410  ,1  ,04/09/2013 
All American Homes of Kansas  ,Osage City  ,66523  ,2  ,10/26/2005 
Alliant Techsystems Inc  ,DeSoto  ,66018  ,3  ,07/09/2001 
Allstate Corp  ,Overland Park  ,66210  ,3  ,10/01/1999 
"Alltell Communications , Inc.  ",Salina  ,67401  ,1  ,03/05/2001 
Ally Servicing  ,Wichita  ,67207  ,4  ,04/22/2015 
Alorica  ,Manhattan  ,66503  ,2  ,07/06/2010 
Amazon  ,Lenexa  ,66219  ,3  ,03/29/2017 
"Amazon.comKSDC, LLC  ",Coffeyville  ,67337  ,5  ,10/16/2014 
Amcor  ,Lenexa  ,66215  ,3  ,02/22/2012 
"Amdocs, Inc.  ",Overland Park  ,66251  ,3  ,12/19/2003 
American Identity  ,Overland Park  ,66210  ,3  ,01/04/2003 
"AMG Service, Inc.  ",Overland Park  ,66210  ,3  ,09/05/2013 
AMPI  ,Hillsboro  ,,1  ,08/04/1998 
Anadarko Petroleum Corporation  ,Hugoton  ,67950  ,1  ,08/23/2016 
Anderson Services/Prologix  ,Lenexa  ,66215  ,3  ,02/24/2009 
Andrews McMeel Publishing  ,Lenexa  ,66219  ,3  ,11/01/2001 
"Ankmar, LLC  ",Kansas City  ,661061127  ,3  ,08/08/2007 
Anthem  ,Overland Park  ,66210  ,3  ,10/18/2018 
APAC Customer Services  ,Deerfield  ,60015  ,4  ,04/27/2006 
"APAC Customer Services, Inc.  ",Wichita  ,67204  ,4  ,07/29/2005 
APL Logistics  ,Wichita  ,67215  ,4  ,10/08/2008 
Aramark Education  ,Junction City  ,66441  ,2  ,04/11/2011 
"ARAMARK Healthcare Support Services, LLC  ",Wichita  ,67214  ,4  ,05/28/2013 
Archer Daniels Midland Company  ,Olathe  ,660619406  ,3  ,11/08/2006 
Archer Daniels Midland Company  ,Hutchinson  ,67501  ,1  ,10/18/2002 
Armed Forces Bank  ,Leavenworth  ,66048  ,3  ,06/29/2015 
"Armour-Eckrich Meats, LLC  ",Kansas City  ,66110  ,3  ,02/01/2007 
Arrow Electronics  ,Lenexa  ,66219  ,3  ,10/12/2006 
Arvos  ,Concordia  ,66901  ,1  ,04/26/2016 
Arvos Group  ,Concordia  ,66901  ,1  ,05/09/2016 
"ASF-Keystone, Inc.  ",McPherson  ,67460  ,1  ,03/16/2001 
"Associated Wholesale Grocers, Inc.  ","Kansas City, KS  ",66110  ,3  ,02/02/2000 
Asurion  ,Salina  ,67401  ,1  ,8/4/2011
AT&T  ,Wichita  ,67202  ,4  ,10/02/2017 
Athene  ,Topeka  ,66612  ,2  ,01/23/2014 
Avery Dennison  ,Wichita  ,67213  ,4  ,10/23/2003 
Bank of America  ,Wichita  ,67201  ,4  ,06/13/2002 
Bank of America  ,Wichita  ,67201  ,4  ,07/23/2002 
Bank of America  ,Wichita  ,67201  ,4  ,12/01/2010 
Beaty Brands  ,Lenexa  ,66219  ,3  ,01/04/2019 
Bechtel Power Corporation  ,Burlington  ,66839  ,5  ,02/20/2014 
Beechcraft Corp  ,Wichita  ,67206  ,4  ,07/12/2013 
Beechcraft Corp  ,Wichita  ,67206  ,4  ,03/22/2013 
Beef Products Inc.  ,Holcomb  ,67851  ,1  ,03/26/2012 
Best Western International  ,Wichita  ,67226  ,4  ,12/15/2001 
Bic Graphic  ,Atchison  ,66002  ,2  ,05/05/2009 
Big Sky Distributors  ,Leawood  ,66224  ,3  ,12/11/2006 
Bimbo Bakeries (Earthgrains Baking Company)  ,Wichita  ,67217  ,4  ,01/03/2014 
Black Bear Diner  ,Olathe  ,66062  ,3  ,04/09/2020 
Blount International Inc.  ,Portland  ,972692127  ,5  ,06/29/2006 
BlueCross BlueShield of Kansas  ,Topeka  ,66629  ,2  ,12/03/2007 
BlueCross BlueShield of Kansas City  ,Leawood  ,662061946  ,3  ,11/07/2008 
BlueCross BlueShield of Kansas City  ,Leawood  ,66206  ,3  ,02/25/2010 
Boehringer Ingelheim  ,Elwood  ,66024  ,2  ,10/28/2010 
Boeing  ,Wichita  ,66210  ,4  ,11/19/2010 
Boeing  ,Wichita  ,66210  ,4  ,12/17/2010 
Boeing  ,Wichita  ,66210  ,4  ,01/21/2011 
Boeing  ,Wichita  ,66210  ,4  ,02/18/2011 
Boeing  ,Wichita  ,66210  ,4  ,05/21/2010 
Boeing  ,Wichita  ,66210  ,4  ,06/18/2010 
Boeing  ,Wichita  ,66210  ,4  ,07/23/2010 
Boeing  ,Topeka  ,66210  ,4  ,08/20/2010 
Boeing  ,Wichita  ,66210  ,4  ,09/17/2010 
Boeing  ,Wichita  ,66210  ,4  ,10/15/2010 
Boeing  ,Wichita  ,66210  ,4  ,03/19/2010 
Boeing  ,Wichita  ,66210  ,4  ,12/18/2009 
Boeing  ,Wichita  ,66210  ,4  ,01/15/2010 
Boeing  ,Wichita  ,66210  ,4  ,02/19/2010 
Boeing  ,Wichita  ,66210  ,4  ,04/16/2010 
Boeing  ,Wichita  ,66210  ,4  ,08/21/2009 
Boeing  ,Wichita  ,66210  ,4  ,09/18/2009 
Boeing  ,Wichita  ,66210  ,4  ,10/30/2009 
Boeing  ,Wichita  ,66210  ,4  ,11/20/2009 
Boeing  ,Wichita  ,66210  ,4  ,02/17/2012 
Boeing  ,Wichita  ,67210  ,4  ,01/20/2012 
Boeing  ,Wichita  ,67210  ,4  ,12/16/2011 
Boeing  ,Wichita  ,67210  ,4  ,02/03/2012 
Boeing  ,Wichita  ,67201  ,4  ,03/23/2012 
Boeing  ,Wichita  ,67207  ,4  ,04/20/2012 
Boeing  ,Wichita  ,67207  ,4  ,05/18/2012 
Boeing  ,Wichita  ,67207  ,4  ,06/29/2012 
Boeing  ,Wichita  ,67207  ,4  ,07/20/2012 
Boeing  ,Wichita  ,67207  ,4  ,06/22/2012 
Boeing  ,Wichita  ,67207  ,4  ,08/17/2012 
Boeing  ,Wichita  ,67210  ,4  ,08/19/2011 
Boeing  ,Wichita  ,67210  ,4  ,09/16/2011 
Boeing  ,Wichita  ,66210  ,4  ,06/17/2011 
Boeing  ,Wichita  ,66210  ,4  ,07/01/2011 
Boeing  ,Wichita  ,66210  ,4  ,06/03/2011 
Boeing  ,Wichita  ,67210  ,4  ,07/22/2011 
Boeing  ,Wichita  ,67210  ,4  ,09/30/2011 
Boeing  ,Wichita  ,67210  ,4  ,10/14/2011 
Boeing  ,Wichita  ,67210  ,4  ,10/28/2011 
Boeing  ,Wichita  ,67210  ,4  ,11/18/2011 
Boeing  ,Wichita  ,662107730  ,4  ,11/24/2008 
Boeing  ,Wichita  ,66210  ,4  ,02/24/2009 
Boeing  ,Wichita  ,66210  ,4  ,03/23/2009 
Boeing  ,Wichita  ,662107730  ,4  ,01/19/2009 
Boeing  ,Wichita  ,66210  ,4  ,06/19/2009 
Boeing  ,Wichita  ,66210  ,4  ,07/17/2009 
Boeing  ,Wichita  ,66210  ,4  ,05/21/2009 
Boeing  ,Wichita  ,66210  ,4  ,04/20/2009 
Boeing  ,Wichita KS  ,67277  ,4  ,10/05/1999 
Boeing  ,Wichita  ,67277  ,4  ,10/07/2002 
Boeing  ,Wichita  ,67277  ,4  ,01/20/2003 
Boeing  ,Wichita  ,67277  ,4  ,01/17/2000 
Boeing  ,Wichita  ,66277  ,4  ,12/14/1999 
Boeing  ,Wichita  ,67277  ,4  ,09/19/2003 
Boeing  ,Wichita  ,67277  ,4  ,10/10/2003 
Boeing  ,Wichita  ,67277  ,4  ,06/23/2003 
Boeing  ,Wichita  ,67277  ,4  ,07/21/2003 
Boeing  ,Wichita  ,67277  ,4  ,08/22/2003 
Boeing  ,Wichita  ,67277  ,4  ,10/24/2003 
Boeing  ,Wichita  ,67277  ,4  ,12/19/2003 
Boeing  ,Wichita  ,67277  ,4  ,11/21/2003 
Boeing  ,Wichita  ,67277  ,4  ,04/21/2003 
Boeing  ,Wichita  ,67277  ,4  ,05/23/2003 
Boeing  ,Wichita  ,67277  ,4  ,05/21/2004 
Boeing  ,Wichita  ,67277  ,4  ,02/20/2004 
Boeing  ,Wichita  ,67277  ,4  ,04/16/2004 
Boeing  ,Wichita  ,67277  ,4  ,06/18/2004 
Boeing  ,Wichita  ,67207  ,4  ,09/20/2013 
Boeing  ,Wichita  ,67207  ,4  ,01/17/2014 
Boeing  ,Wichita  ,67207  ,4  ,10/11/2013 
Boeing  ,Wichita  ,67207  ,4  ,11/01/2013 
Boeing  ,Wichita  ,67207  ,4  ,11/22/2013 
Boeing  ,Wichita  ,67207  ,4  ,12/20/2013 
Boeing  ,Wichita  ,67207  ,4  ,02/01/2014 
Boeing  ,Wichita  ,67207  ,4  ,02/14/2014 
Boeing  ,Wichita  ,67207  ,4  ,05/23/2014 
Boeing  ,Wichita  ,67207  ,4  ,06/20/2014 
Boeing  ,Wichita  ,67207  ,4  ,03/21/2014 
Boeing  ,Wichita  ,67207  ,4  ,04/18/2014 
Boeing  ,Wichita  ,67207  ,4  ,04/19/2013 
Boeing  ,Wichita  ,67207  ,4  ,02/01/2013 
Boeing  ,Wichita  ,67207  ,4  ,02/15/2013 
Boeing  ,Wichita  ,67207  ,4  ,03/22/2013 
Boeing  ,Wichita  ,67207  ,4  ,01/18/2013 
Boeing  ,Wichita  ,67207  ,4  ,07/19/2013 
Boeing  ,Wichita  ,67207  ,4  ,08/23/2013 
Boeing  ,Wichita  ,67207  ,4  ,06/21/2013 
Boeing  ,Wichita  ,67207  ,4  ,05/17/2013 
Boeing  ,Wichita  ,67207  ,4  ,09/14/2012 
Boeing  ,Wichita  ,67207  ,4  ,10/12/2012 
Boeing  ,Wichita  ,67207  ,4  ,11/02/2012 
Boeing  ,Wichita  ,67207  ,4  ,11/08/2012 
Boeing  ,Wichita  ,67207  ,4  ,11/21/2012 
Boeing  ,Wichita  ,67207  ,4  ,12/21/2012 
Boeing  ,Wichita  ,67207  ,4  ,07/17/2015 
Boeing  ,Wichita  ,67207  ,4  ,04/17/2015 
Boeing  ,Wichita  ,67207  ,4  ,02/20/2015 
Boeing  ,Wichita  ,67207  ,4  ,10/10/2014 
Boeing  ,Wichita  ,67207  ,4  ,07/18/2014 
Boeing  ,Wichita  ,67207  ,4  ,08/22/2014 
