Date Received,Region,County,Company Name,NAICS Code,Employees,Closure or Layoff?,Projected Date,Trade
6/26/2020,Western Kentucky,Marshall,CC Metals and Alloys,33111,106,Layoff,7/1/2020,No
6/25/2020,Bluegrass,Madison,Stemco Products Inc,336340,52,Layoff,8/28/2020,No
6/16/2020,Kentuckianaworks,Jefferson,T-Mobile,517210,127,Layoff,6/16/2020,Yes
6/15/2020,Northern Kentucky,Boone,RYDER TRUCK-Burlington KY,493110,99,Layoff,8/12/2020,No
6/15/2020,Kentuckianaworks,Jefferson,Jacobsen|Daniel’s Enterprise Inc.-SDF,488190,5,Layoff,6/12/2020,No
6/12/2020,Northern Kentucky,Boone,Jacobsen|Daniels Enterprise Inc. - CVG,488190,17,Layoff,6/12/2020,No
6/9/2020,Northern Kentucky,Boone,Arandell,54130,112,Closure,6/19/2020,No
6/4/2020,Cumberlands,Wayne,AMERICAN WOODMARK CORPORATION,337110,3,Layoff,5/29/2020,No
6/1/2020,Northern Kentucky,Boone ,Global Experience Specialists  Exposition Services Inc,561990,47,Layoff,3/15/2020,No
5/23/2020,Kentuckianaworks,Jefferson ,21c Museum Hotel Louisville - MGallery,721110,117,Layoff,5/15/2020,No
5/22/2020,Western Kentucky,Christian ,MSSC,332613,170,Layoff,9/30/2020,TBD
5/22/2020,Bluegrass,Fayette,21c Museum Hotel Lexington,721110,121,Layoff,5/28/2020,No
5/20/2020,Northern Kentucky,Boone ,Enterprise Holdings,532111,70,Layoff,3/23/2020,No
5/14/2020,Green River,Hancock ,Dal-Tile Corporation,23840,67,Closure,7/17/2020,No
5/11/2020,EKCEP,Floyd,Redhawk Mining LLC,213113,182,Layoff,5/14/2020,No
4/30/2020,South Central,Warren,Atrium Hospitality-Holiday Inn Bowling Green ,151026,100,Layoff,3/12/2020,No
4/28/2020,South Central,Warren ,Fruit of The Loom,315190,541,Layoff,5/3/2020,No
4/27/2020,Statewide,Statewide,Bloomin' Brands Inc.,722511,1134,Layoff,3/15/2020,No
4/27/2020,Cumberlands,Pulaski ,Hendrickson USA,336390,179,Layoff,4/27/2020,No
4/27/2020,Bluegrass,Fayette ,Copart,423110,50,Closure,4/27/2020,No
4/27/2020,Green River,Hancock ,Domtar Paper Company LLC,322121,398,Layoff,5/4/2020,No
4/24/2020,Bluegrass,Fayette ,"EAN Holdings, LLC dba/Enterprise Rent-A-Car/Alamo/National",532111,102,Layoff,3/20/2020,No
4/24/2020,Kentuckianaworks,Jefferson ,Enterprise Rent-A-Car,532111,118,Layoff,3/20/2020,No
4/24/2020,Lincoln Trail,Grayson ,"Leggett & Platt, Inc",423210,210,Layoff,4/14/2020,No
4/24/2020,Kentuckianaworks,Jefferson,Enterprise Rent-A-Car,532111,104,Layoff,4/30/2020,No
4/23/2020,Statewide,Statewide,"Visionworks, Inc.",446130,269,Layoff,4/4/2020,No
