Date Received,Company Name,City,Layoff Date,# Affected
7/23/2019,"Babbo Enoteca FP LLC e Enoteca (""Babbo Boston"")",Boston,9/15/19,62
9/12/2019,"Urban Mobility Now, LLC","Chelsea, Dedham (Amazon Fulfillment Station)",10/9/19,201 total (three locations)
10/8/2019,"CozyKin, Inc. ",Cambridge,10/8/19 - 11/15/19,148
10/17/2019,BARNEYS,Boston,11/1/2019-11/16/19,61
11/14/2019,UPDATED:  BARNEYS,Boston, 12/31/19,61
12/31/2019,UPDATED:  BARNEYS,Boston,2/1/20-2/15/20,61
2/13/2020,UPDATED:  BARNEYS,Boston,2/13/20-2/27/20,63
11/5/2019,Amgen Inc. ,Cambridge,12/31/19,149
1/29/2020,"JetStream Ground Services, Inc. ",Boston,3/23/20,T/B/D
2/18/2020,"Select Restaurants, Inc./Top of the Hub Restaurant",Boston,3/20/20,170
3/2/2020,dnata US Inflight Catering LLC,Everett,5/1/2020-5/3/2020,30
3/20/2020,Clarendon Restaurant LLC (Post 390),Boston,3/23/20,90
3/20/2020,"Highgate Hotels, L.P. (Inn at Brookline)",Brookline,3/21/20,36
3/20/2020,"Highgate Hotels, L.P. (Boston Park Plaza Hotel)",Boston,3/21/20,500
3/20/2020,Harvest 2000 LLC (Harvest Resaurant),Cambridge,3/23/20,66
3/20/2020,Berkely Place Restaurant LP (Grill 23 & Bar),Boston,3/23/20,139
3/20/2020,HM Boston LLC (Bistro Du Midi),Boston,3/23/20,59
3/16/2020,Wagamama USA LLC - 100 Northern Ave,Boston,3/17/20,45
3/16/2020,Wagamama USA LLC - Prudential Center,Boston,3/17/20,63
3/16/2020,Wagamama USA LLC - Quincy Market,Boston,3/17/20,34
3/22/2020,Embassy Suites Boston,Boston,3/25/20,59
3/24/2020,Ocean Prime,Boston,3/16/20 - 3/31/20,150
3/24/2020,Boston Teaparty Ships & Museum,Boston,3/24/20,57
3/24/2020,"Historic Tours of America, Inc.",Boston,3/24/20,96
3/25/2020,Pineapple Hospitality Company,Boston,3/16/20 - 3/20/20,27
3/25/2020,The Ritz - Carlton Boston,Boston,3/14/20 - 3/28/20,244
3/26/2020,Grand Circle LLC,Boston,3/23/20,120
3/26/2020,"Earl's Restaurants USA, Inc.",Boston & Somerville,3/24/20,364
3/27/2020,"Avis Budget Car Rental, LLC",East Boston,3/13/20 - indefinitely,144
3/28/2020,Westin Boston Waterfront,Boston,3/17/20 - 3/24/20,435
3/28/2020,Paper Source,"Boston, Cambridge, Brookline & Burlington",3/29/20,50
4/1/2020,Courtyard Cambridge,Cambridge,3/15/20 - 4/3/20,75
4/1/2020,Primark,"Boston, Burlington",4/1/20,242
4/2/2020,Cirque Du Soleil,Boston,3/17/20 - 4/3/20,66
4/2/2020,bartaco,Boston,3/21/20,93
4/3/2020,G2,Boston,3/27/20,102
4/3/2020,InterContinental Hotel Boston,Boston,3/13/20 - 4/13/20,256
4/3/2020,Boston University,Boston,3/17/20 - 4/7/20,1633
4/6/2020,Indochino,Boston,3/25/20,18
4/5/2020,Mersing Group Limited (Boston Hotel Buckminster and Fenmore Grill),Boston,3/20/20,35
4/5/2020,"Park Shuttle & Fly, Inc.",East Boston,3/31/20,34
4/6/2020,Four Seasons Hotel One Dalton Street,Boston,3/20/20,108
4/7/2020,"Suitsupply (Suit Supply (USA), Inc. & Café SuSu, Inc.",Boston,3/29/20,34
4/7/2020,"Medford Wellington Service Co., Inc",Medford,3/18/20,75
4/9/2020,"Museum of Fine Arts, Boston",Boston,4/10/20,389
4/9/2020,"Beasley Media Group, LLC",Boston,4/1/20,59
4/9/2020,"Toast, Inc.",Boston,4/8/20,736
4/14/2020,"NewsLink  of Boston, LLC",Boston,4/14/20,73
4/17/2020,Miller's Ale House,Watertown,3/21/20,47
4/22/2020,Atrius Health,Medford,4/19/20,83
4/22/2020,"Hard Rock Cafe International STP, Inc.",Boston,4/27/20,58
4/23/2020,EWC Growth Partners,Boston,4/11/20,114
4/27/2020,"OS Restaurant Services, LLC",Somerville,3/15/20 - 4/27/20,57
4/28/2020,The Hertz Corporation,Boston,4/14/20 - 4/17/20,171
4/28/2020,TripAdvisor,Boston,3/5/20 - 7/17/20,90
5/1/2020,The Harvard Club of Boston,Boston,7/15/20,38
5/12/2020,"AMAG Pharmaceuticals, Inc.",Waltham,6/10/20,32
5/12/2020,Davidson Hotel Company LLC (Hilton Boston Downtown-Faneuil Hall),Boston,3/23/20,121
5/14/2020,"LAZ Parking Limited, LLC",Boston,3/13/20 - 5/1/20,627
5/20/2020,Gate Gourmet,Boston,5/20/20,136
5/21/2020,Air Canada,Boston,3/24/20,45
5/21/2020,UPDATED: The Hertz Corporation,Boston,5/20/20,176
5/21/2020,UPDATED: Gate Gourmet,Boston,5/20/20,136
5/29/2020,"Merritt Hospitality, LLC (Le Meridien Boston Cambridge)",Cambridge,5/21/20,79
5/29/2020,"Merritt Hospitality, LLC (Liberty Hotel)",Boston,5/20/20,205
6/1/2020,UPDATED: Atrius Health,Various Locations,5/17/20 - 5/31/20,172
6/2/2020,"Marriott Payroll Servies, LLC (The Boston Marriott Copley Place Hotel)",Boston,3/14/20,543
6/5/2020,Bostonian Boston Hotel,Boston,6/1/20 - 7/1/20,83
6/5/2020,UPDATED: Gate Gourmet,Boston,3/30/20,29
6/8/2020,Courtyard Management Corp. (The Courtyard by Marriott Boston Downtown),Boston,3/14/20,109
6/8/2020,"Marriott Hotel Services, Inc. (Boston Marriott Long Wharf)",Boston,3/12/20,249
6/8/2020,"SW Hotels & Resorts WW, LLC (Sheraton Boston Hotel)",Boston,3/21/20,548
6/8/2020,"SW Hotels & Resorts WW, LLC (The Westin Copley Place Hotel)",Boston,3/21/20,348
6/8/2020,"The Ritz-Carlton Company, LLC (The Ritz-Carlton, Boston)",Boston,3/14/20,260
6/8/2020,Renaissance Hotel Operating Co. (Renaissance Boston Waterfront Hotel),Boston,3/21/20,260
6/8/2020,"Aloft Hotel Management, Inc (Aloft Boston Seaport District Hotel)",Boston,3/14/20,112
6/8/2020,"SW Hotels & Resorts WW, LLC (W Boston Hotel and Residences)",Boston,3/21/20,183
6/9/2020,Whole Foods Market's North Atlantic Region (Bread and Circus Bakhouse Facility),Medford,7/17/20,147
6/9/2020,UPDATED: Westin Boston Waterfront,Boston,6/17/20,57
 6/16/2020,City Winery,Boston,3/24/20,109
6/17/2020,WordStream,Boston,8/17/20,61
6/17/2020,"Merritt Hospitality, LLC (Embassy Suites Boston/Waltham)",Waltham,6/10/20,77
6/19/2020,The Hertz Corporation,Boston,8/17/20,180
