State,Month,Day,Date,Type,Day lockdown
Alabama,4,4,4/4/20,2,94
Alaska,3,28,3/28/20,2,88
Arizona,3,31,3/31/20,2,91
California,3,19,3/19/20,2,79
Colorado,3,26,3/26/20,2,86
Connecticut,3,23,3/23/20,2,83
Delaware,3,24,3/24/20,1,84
Columbia,4,1,4/1/20,2,91
Florida,4,3,4/3/20,2,93
Georgia,4,3,4/3/20,1,93
Hawaii,3,25,3/25/20,2,85
Idaho,3,25,3/25/20,2,85
Illinois,3,21,3/21/20,2,81
Indiana,3,25,3/25/20,2,85
Kansas,3,30,3/30/20,2,90
Kentucky,3,26,3/26/20,2,86
Louisiana,3,23,3/23/20,2,83
Maine,4,2,4/2/20,2,92
Maine,3,25,3/25/20,2,85
Maryland,3,30,3/30/20,2,90
Massachusetts,3,24,3/24/20,2,84
Michigan,3,28,3/24/20,2,88
Minnesota,3,28,3/28/20,2,88
Mississippi,4,3,4/3/20,1,93
Missouri,4,6,4/6/20,2,96
Montana,3,28,3/28/20,2,88
Nevada,4,1,4/1/20,2,91
New Hampshire,3,28,3/28/20,2,88
New Jersey,3,21,3/21/20,2,81
New Mexico,3,24,3/24/20,2,84
New York,3,22,3/22/20,2,82
North Carolina,3,30,3/30/20,2,90
Ohio,3,24,3/24/20,2,84
Oklahoma,4,7,4/7/20,2,97
Oregon,3,23,3/23/20,2,83
Pennsylvania,4,1,4/1/20,2,91
Puerto Rico,3,15,3/15/20,3,75
Rhode Island,3,28,3/28/20,2,88
South Carolina,4,7,4/7/20,2,97
Tennessee,4,1,4/1/20,2,91
Texas,4,2,4/2/20,2,92
Utah,4,2,4/2/20,2,92
Vermont,3,25,3/25/20,2,85
Virginia,3,30,3/30/20,2,90
Washington,3,23,3/23/20,2,83
West Virginia,3,24,3/24/20,2,84
Wisconsin,3,25,3/25/20,2,85
Wyoming,3,28,3/28/20,2,88
