Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2/26/20,AUT,Austria,Burgenland,47.541449,16.520206,0,0,0,0,0,0,TRUE,TRUE,AT11
2/26/20,AUT,Austria,KŠrnten,46.715832,14.455532,0,0,9,-9,0,0,TRUE,TRUE,AT21
2/26/20,AUT,Austria,Niederšsterreich,48.27051,15.763245,0,0,0,0,0,0,TRUE,TRUE,AT12
2/26/20,AUT,Austria,NOT SPECIFIED,0,0,0,0,0,0,0,0,TRUE,TRUE,0
2/26/20,AUT,Austria,Oberšsterreich,48.138166,13.964295,0,0,7,-7,0,0,TRUE,TRUE,AT31
2/26/20,AUT,Austria,Salzburg,47.254051,13.032653,0,0,1,-1,0,0,TRUE,TRUE,AT32
2/26/20,AUT,Austria,Steiermark,47.187361,15.518046,0,0,0,0,0,0,TRUE,TRUE,AT22
2/26/20,AUT,Austria,Tirol,47.209023,11.397603,0,0,0,0,0,0,TRUE,TRUE,AT33
2/26/20,AUT,Austria,Vorarlberg,47.240149,9.896366,0,0,1,-1,0,0,TRUE,TRUE,AT34
2/26/20,AUT,Austria,Wien,48.21141,16.380038,1,0,0,1,0,0,TRUE,TRUE,AT13
2/27/20,AUT,Austria,Burgenland,47.541449,16.520206,0,0,0,0,0,0,TRUE,TRUE,AT11
2/27/20,AUT,Austria,KŠrnten,46.715832,14.455532,0,0,9,-9,0,0,TRUE,TRUE,AT21
2/27/20,AUT,Austria,Niederšsterreich,48.27051,15.763245,0,0,0,0,0,0,TRUE,TRUE,AT12
2/27/20,AUT,Austria,NOT SPECIFIED,0,0,0,0,0,0,0,0,TRUE,TRUE,0
2/27/20,AUT,Austria,Oberšsterreich,48.138166,13.964295,0,0,7,-7,0,0,TRUE,TRUE,AT31
2/27/20,AUT,Austria,Salzburg,47.254051,13.032653,0,0,1,-1,0,0,TRUE,TRUE,AT32
2/27/20,AUT,Austria,Steiermark,47.187361,15.518046,0,0,0,0,0,0,TRUE,TRUE,AT22
2/27/20,AUT,Austria,Tirol,47.209023,11.397603,0,0,0,0,0,0,TRUE,TRUE,AT33
2/27/20,AUT,Austria,Vorarlberg,47.240149,9.896366,0,0,1,-1,0,0,TRUE,TRUE,AT34
2/27/20,AUT,Austria,Wien,48.21141,16.380038,3,0,0,3,0,0,TRUE,TRUE,AT13
2/28/20,AUT,Austria,Burgenland,47.541449,16.520206,0,0,0,0,0,0,TRUE,TRUE,AT11
2/28/20,AUT,Austria,KŠrnten,46.715832,14.455532,0,0,9,-9,0,0,TRUE,TRUE,AT21
2/28/20,AUT,Austria,Niederšsterreich,48.27051,15.763245,2,0,0,2,0,0,TRUE,TRUE,AT12
